station_id,num_bikes_available,num_bikes_disabled,is_charging_station,status,traffic,num_docks_available,num_docks_disabled,last_reported,is_installed,is_renting,is_returning,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
7097,9,0,False,IN_SERVICE,,5,1,1771820843,1,1,1,9,0
7098,13,0,False,IN_SERVICE,,2,0,1771820925,1,1,1,13,0
7099,32,0,False,IN_SERVICE,,6,0,1771820956,1,1,1,32,0
7100,19,0,False,IN_SERVICE,,7,1,1771820916,1,1,1,19,0
7101,10,0,False,IN_SERVICE,,14,2,1771820964,1,1,1,10,0
7102,29,0,False,IN_SERVICE,,2,0,1771820902,1,1,1,29,0
7103,22,0,False,IN_SERVICE,,11,0,1771820852,1,1,1,22,0
7104,3,0,False,IN_SERVICE,,12,0,1771820942,1,1,1,3,0
7105,9,0,False,IN_SERVICE,,6,0,1771820872,1,1,1,9,0
7106,11,0,False,IN_SERVICE,,12,0,1771820924,1,1,1,11,0
7107,9,0,False,IN_SERVICE,,6,0,1771820965,1,1,1,8,1
7109,3,0,False,IN_SERVICE,,25,3,1771820936,1,1,1,3,0
7110,11,0,False,IN_SERVICE,,3,0,1771820897,1,1,1,11,0
7111,7,0,False,IN_SERVICE,,3,1,1771820948,1,1,1,6,1
7112,12,0,False,IN_SERVICE,,6,0,1771820928,1,1,1,12,0
7113,6,0,False,IN_SERVICE,,8,0,1771820850,1,1,1,6,0
7114,20,0,False,IN_SERVICE,,6,0,1771820948,1,1,1,20,0
7115,3,0,False,IN_SERVICE,,22,4,1771820862,1,1,1,3,0
7116,11,0,False,IN_SERVICE,,7,1,1771820956,1,1,1,10,1
7117,0,0,False,IN_SERVICE,,18,1,1771820852,1,1,1,0,0
7118,5,0,False,IN_SERVICE,,12,1,1771820860,1,1,1,5,0
7119,9,0,False,IN_SERVICE,,4,2,1771820932,1,1,1,9,0
7120,7,0,False,IN_SERVICE,,2,1,1771820963,1,1,1,7,0
7121,13,0,False,IN_SERVICE,,14,0,1771820918,1,1,1,13,0
7122,0,0,False,IN_SERVICE,,15,0,1771820922,1,1,1,0,0
7123,9,0,False,IN_SERVICE,,6,0,1771820875,1,1,1,9,0
7124,16,0,False,IN_SERVICE,,3,0,1771820871,1,1,1,16,0
7126,12,0,False,IN_SERVICE,,5,0,1771820905,1,1,1,12,0
7127,1,0,False,IN_SERVICE,,14,0,1771820876,1,1,1,1,0
7128,1,0,False,IN_SERVICE,,22,0,1771820856,1,1,1,1,0
7129,1,0,False,IN_SERVICE,,8,2,1771820918,1,1,1,1,0
7130,6,0,False,IN_SERVICE,,8,1,1771820903,1,1,1,6,0
7131,2,0,False,IN_SERVICE,,10,2,1771820940,1,1,1,2,0
7132,0,1,False,IN_SERVICE,,8,0,1771820853,1,1,1,0,0
7133,1,0,False,IN_SERVICE,,8,2,1771820909,1,1,1,1,0
7135,22,0,False,IN_SERVICE,,13,0,1771820917,1,1,1,22,0
7137,1,0,False,IN_SERVICE,,13,0,1771820848,1,1,1,1,0
7138,1,0,False,IN_SERVICE,,25,1,1771820915,1,1,1,1,0
7139,1,0,False,IN_SERVICE,,14,0,1771820959,1,1,1,1,0
7140,4,0,False,IN_SERVICE,,11,0,1771820907,1,1,1,4,0
7141,5,0,False,IN_SERVICE,,10,0,1771820952,1,1,1,4,1
7142,2,0,False,IN_SERVICE,,13,0,1771820872,1,1,1,2,0
7143,9,0,False,IN_SERVICE,,5,1,1771820898,1,1,1,8,1
7144,4,0,False,IN_SERVICE,,8,3,1771820929,1,1,1,4,0
7146,5,0,False,IN_SERVICE,,13,1,1771820838,1,1,1,5,0
7147,3,0,False,IN_SERVICE,,12,0,1771820953,1,1,1,3,0
7148,11,0,False,IN_SERVICE,,8,3,1771820862,1,1,1,11,0
7149,1,0,False,IN_SERVICE,,10,0,1771820924,1,1,1,1,0
7150,10,1,False,IN_SERVICE,,7,1,1771820847,1,1,1,10,0
7151,1,0,False,IN_SERVICE,,17,1,1771820923,1,1,1,1,0
7152,1,1,False,IN_SERVICE,,9,0,1771820943,1,1,1,1,0
7153,5,0,False,IN_SERVICE,,13,1,1771820870,1,1,1,5,0
7154,20,0,False,IN_SERVICE,,2,0,1771820954,1,1,1,20,0
7155,7,0,False,IN_SERVICE,,12,0,1771820920,1,1,1,5,2
7156,3,0,False,IN_SERVICE,,11,1,1771820910,1,1,1,3,0
7157,0,0,False,IN_SERVICE,,23,0,1771820886,1,1,1,0,0
7158,1,0,False,IN_SERVICE,,14,0,1771820863,1,1,1,1,0
7160,10,0,False,IN_SERVICE,,9,0,1771820909,1,1,1,10,0
7161,1,0,False,IN_SERVICE,,16,4,1771820905,1,1,1,1,0
7162,6,0,False,IN_SERVICE,,16,1,1771820931,1,1,1,6,0
7164,19,0,False,IN_SERVICE,,3,1,1771820925,1,1,1,19,0
7168,43,0,False,IN_SERVICE,,3,0,1771820863,1,1,1,43,0
7169,0,0,False,IN_SERVICE,,10,1,1771820906,1,1,1,0,0
7170,3,0,False,IN_SERVICE,,11,1,1771820918,1,1,1,3,0
